group,name,unit,default_unit_cost
GCs,Select a Lump Sum,lump sum,0
GCs,Telescoping GC Fees,months,1500
GCs,Plans Per Lump Sum - Basic,lump sum,5000
GCs,Plans Per Lump Sum - Standard,lump sum,10000
GCs,Plans Per Lump Sum - Complex,lump sum,15000
Demo,Demo All Clear Lump Sum - Small,lump sum,5000
Demo,Demo All Clear Lump Sum - Medium,lump sum,12500
Demo,Demo All Clear Lump Sum - Large,lump sum,20000
Demo,Concrete Cutting,lf,24
Demo,Concrete Removal - Large,each,1000
Demo,Concrete Removal - Small,each,750
Structural / Envelope,Structural Rupi,each,2500
Structural / Envelope,RTU Curb,each,1000
Concrete,Concrete Slab,sqft,12
Concrete,Concrete Foundation,lump sum,9000
Concrete,Concrete Footing,lf,11
Concrete,Concrete Curb,lf,14
Concrete,Sidewalk Replacement,sqft,18
Wood / Carpentry,Blocking Installation,lump sum,1500
Wood / Carpentry,Finish Carpentry - Basic,lump sum,5000
Wood / Carpentry,Finish Carpentry - Standard,lump sum,10000
Wood / Carpentry,Finish Carpentry - Premium,lump sum,15000
Thermal / Sound Insulation,Insulation,sqft,1
Thermal / Sound Insulation,Membrane - Large,each,500
Thermal / Sound Insulation,Membrane - Small,each,250
Thermal / Sound Insulation,Flashing Installation,lump sum,5000
Doors and Windows,Hollow Metal Door - Standard,each,1800
Doors and Windows,Hollow Metal Door - Premium,each,2000
Doors and Windows,Aluminum Storefront,sqft,65
Doors and Windows,Aluminum Entry Door - Standard,each,3000
Doors and Windows,Aluminum Entry Door - Mid,each,4500
Doors and Windows,Aluminum Entry Door - Premium,each,6000
Doors and Windows,Aluminum Storefront System,each,9000
Finishes,10 Metal Stud Framing,lf,110
Finishes,12 Metal Stud Framing,lf,115
Finishes,14 Metal Stud Framing,lf,125
Finishes,Acoustic Ceiling - Standard,sqft,6.5
Finishes,Acoustic Ceiling - Basic,sqft,3
Finishes,Wall Paneling,sqft,8
Finishes,Exterior Paint,sqft,2.25
Finishes,Interior Paint,sqft,3
Finishes,Carpet Tile,sqft,6
Finishes,Fiberglass,sqft,8
Finishes,Tile Installation,sqft,30
Finishes,Rubber Base,lf,2
Specialties,Bathroom Package,each,7500
Specialties,Bathroom Accessories,lump sum,750
Fire Sprinklers,Fire Extinguisher Cabinet,each,200
Fire Sprinklers,Fire Sprinkler Relocation,each,350
Fire Sprinklers,Fire Sprinkler System,lump sum,1500
Plumbing,Tenant Improvement Package,each,3500
Plumbing,Grease or Oil Separator,each,150
Mechanical,New Generator,sqft,8
Mechanical,New RTU,each,9000
Mechanical,New Split System,each,18
Electrical,Tenant Improvement - Basic,sqft,8
Electrical,Tenant Improvement - Full,sqft,300
Electrical,Electrical Panel - Standard,each,5000
Electrical,Electrical Service Upgrade,each,5000
Electrical,Fire Alarm System - Basic,lump sum,10000
Electrical,Fire Alarm System - Full,lump sum,10000
